task_idx,dataset_id,objective,edit_budget,seed,method,n_selected,functional_hit_rate,mean_fitness,best_fitness,mean_edit_distance,constraint_satisfaction_rate,joint_success_rate
0,F7YBW8_MESOW_Aakre_2015,novelty,1,0,dms_pool_guided,37,0.972972972972973,0.9794121798038244,0.9997824194952132,1.0,1.0,0.972972972972973
0,F7YBW8_MESOW_Aakre_2015,novelty,1,1,dms_pool_guided,37,0.972972972972973,0.9794121798038247,0.9997824194952132,1.0,1.0,0.972972972972973
0,F7YBW8_MESOW_Aakre_2015,novelty,1,2,dms_pool_guided,37,0.972972972972973,0.9794121798038244,0.9997824194952132,1.0,1.0,0.972972972972973
0,F7YBW8_MESOW_Aakre_2015,novelty,1,3,dms_pool_guided,37,0.972972972972973,0.9794121798038244,0.9997824194952132,1.0,1.0,0.972972972972973
0,F7YBW8_MESOW_Aakre_2015,novelty,1,4,dms_pool_guided,37,0.972972972972973,0.9794121798038244,0.9997824194952132,1.0,1.0,0.972972972972973
1,F7YBW8_MESOW_Aakre_2015,fragility_aware,1,0,dms_pool_guided,32,1.0,0.9926056625326372,0.9997824194952132,1.0,1.0,1.0
1,F7YBW8_MESOW_Aakre_2015,fragility_aware,1,1,dms_pool_guided,32,1.0,0.9926056625326372,0.9997824194952132,1.0,1.0,1.0
1,F7YBW8_MESOW_Aakre_2015,fragility_aware,1,2,dms_pool_guided,32,1.0,0.9926056625326372,0.9997824194952132,1.0,1.0,1.0
1,F7YBW8_MESOW_Aakre_2015,fragility_aware,1,3,dms_pool_guided,32,1.0,0.992605662532637,0.9997824194952132,1.0,1.0,1.0
1,F7YBW8_MESOW_Aakre_2015,fragility_aware,1,4,dms_pool_guided,32,1.0,0.992605662532637,0.9997824194952132,1.0,1.0,1.0
2,F7YBW8_MESOW_Aakre_2015,motif_avoidance,1,0,dms_pool_guided,37,0.972972972972973,0.9794121798038244,0.9997824194952132,1.0,1.0,0.972972972972973
2,F7YBW8_MESOW_Aakre_2015,motif_avoidance,1,1,dms_pool_guided,37,0.972972972972973,0.9794121798038247,0.9997824194952132,1.0,1.0,0.972972972972973
2,F7YBW8_MESOW_Aakre_2015,motif_avoidance,1,2,dms_pool_guided,37,0.972972972972973,0.9794121798038244,0.9997824194952132,1.0,1.0,0.972972972972973
2,F7YBW8_MESOW_Aakre_2015,motif_avoidance,1,3,dms_pool_guided,37,0.972972972972973,0.9794121798038244,0.9997824194952132,1.0,1.0,0.972972972972973
2,F7YBW8_MESOW_Aakre_2015,motif_avoidance,1,4,dms_pool_guided,37,0.972972972972973,0.9794121798038244,0.9997824194952132,1.0,1.0,0.972972972972973
3,F7YBW8_MESOW_Aakre_2015,novelty,2,0,dms_pool_guided,50,0.9,0.8903383376849434,0.9960835509138382,1.92,1.0,0.9
3,F7YBW8_MESOW_Aakre_2015,novelty,2,1,dms_pool_guided,50,0.88,0.8916688424717145,0.9996736292428199,1.88,1.0,0.88
3,F7YBW8_MESOW_Aakre_2015,novelty,2,2,dms_pool_guided,50,0.76,0.8295028285465623,0.9988033072236727,1.96,1.0,0.76
3,F7YBW8_MESOW_Aakre_2015,novelty,2,3,dms_pool_guided,50,0.78,0.8297008268059182,0.9956483899042646,2.0,1.0,0.78
3,F7YBW8_MESOW_Aakre_2015,novelty,2,4,dms_pool_guided,50,0.84,0.8660596170583116,0.9996736292428199,1.94,1.0,0.84
4,F7YBW8_MESOW_Aakre_2015,fragility_aware,2,0,dms_pool_guided,50,1.0,0.9720713664055701,0.9995648389904265,1.92,1.0,1.0
4,F7YBW8_MESOW_Aakre_2015,fragility_aware,2,1,dms_pool_guided,50,1.0,0.9721583986074847,0.9996736292428199,1.88,1.0,1.0
