method,n_selected,functional_hit_rate,mean_fitness,best_fitness,mean_edit_distance,constraint_satisfaction_rate,joint_success_rate,task_idx,dataset_id,objective,edit_budget,seed
random,37,0.972972972972973,0.9794121798038244,0.9997824194952132,1.0,1.0,0.972972972972973,0,F7YBW8_MESOW_Aakre_2015,novelty,1,0
novelty,37,0.972972972972973,0.9794121798038249,0.9997824194952132,1.0,1.0,0.972972972972973,0,F7YBW8_MESOW_Aakre_2015,novelty,1,0
objective_only,37,0.972972972972973,0.9794121798038249,0.9997824194952132,1.0,1.0,0.972972972972973,0,F7YBW8_MESOW_Aakre_2015,novelty,1,0
dms_prior_rerank,37,0.972972972972973,0.9794121798038247,0.9997824194952132,1.0,1.0,0.972972972972973,0,F7YBW8_MESOW_Aakre_2015,novelty,1,0
editguard_guided,37,0.972972972972973,0.9794121798038247,0.9997824194952132,1.0,1.0,0.972972972972973,0,F7YBW8_MESOW_Aakre_2015,novelty,1,0
random,37,0.972972972972973,0.9794121798038251,0.9997824194952132,1.0,1.0,0.972972972972973,0,F7YBW8_MESOW_Aakre_2015,novelty,1,1
novelty,37,0.972972972972973,0.9794121798038249,0.9997824194952132,1.0,1.0,0.972972972972973,0,F7YBW8_MESOW_Aakre_2015,novelty,1,1
objective_only,37,0.972972972972973,0.9794121798038249,0.9997824194952132,1.0,1.0,0.972972972972973,0,F7YBW8_MESOW_Aakre_2015,novelty,1,1
dms_prior_rerank,37,0.972972972972973,0.9794121798038247,0.9997824194952132,1.0,1.0,0.972972972972973,0,F7YBW8_MESOW_Aakre_2015,novelty,1,1
editguard_guided,37,0.972972972972973,0.9794121798038247,0.9997824194952132,1.0,1.0,0.972972972972973,0,F7YBW8_MESOW_Aakre_2015,novelty,1,1
random,37,0.972972972972973,0.9794121798038244,0.9997824194952132,1.0,1.0,0.972972972972973,0,F7YBW8_MESOW_Aakre_2015,novelty,1,2
novelty,37,0.972972972972973,0.9794121798038249,0.9997824194952132,1.0,1.0,0.972972972972973,0,F7YBW8_MESOW_Aakre_2015,novelty,1,2
objective_only,37,0.972972972972973,0.9794121798038249,0.9997824194952132,1.0,1.0,0.972972972972973,0,F7YBW8_MESOW_Aakre_2015,novelty,1,2
dms_prior_rerank,37,0.972972972972973,0.9794121798038247,0.9997824194952132,1.0,1.0,0.972972972972973,0,F7YBW8_MESOW_Aakre_2015,novelty,1,2
editguard_guided,37,0.972972972972973,0.9794121798038247,0.9997824194952132,1.0,1.0,0.972972972972973,0,F7YBW8_MESOW_Aakre_2015,novelty,1,2
random,37,0.972972972972973,0.9794121798038247,0.9997824194952132,1.0,1.0,0.972972972972973,0,F7YBW8_MESOW_Aakre_2015,novelty,1,3
novelty,37,0.972972972972973,0.9794121798038249,0.9997824194952132,1.0,1.0,0.972972972972973,0,F7YBW8_MESOW_Aakre_2015,novelty,1,3
objective_only,37,0.972972972972973,0.9794121798038249,0.9997824194952132,1.0,1.0,0.972972972972973,0,F7YBW8_MESOW_Aakre_2015,novelty,1,3
dms_prior_rerank,37,0.972972972972973,0.9794121798038247,0.9997824194952132,1.0,1.0,0.972972972972973,0,F7YBW8_MESOW_Aakre_2015,novelty,1,3
editguard_guided,37,0.972972972972973,0.9794121798038247,0.9997824194952132,1.0,1.0,0.972972972972973,0,F7YBW8_MESOW_Aakre_2015,novelty,1,3
random,37,0.972972972972973,0.9794121798038247,0.9997824194952132,1.0,1.0,0.972972972972973,0,F7YBW8_MESOW_Aakre_2015,novelty,1,4
