dataset_id,objective,edit_budget,protected_positions,forbidden_residues,n_candidates,split
CAPSD_AAV2S_Sinai_2021,novelty,1,,,532,train
CAPSD_AAV2S_Sinai_2021,fragility_aware,1,"562,565,568,569,570,572,577",,399,train
CAPSD_AAV2S_Sinai_2021,motif_avoidance,1,,C,504,train
CAPSD_AAV2S_Sinai_2021,novelty,2,,,11365,train
CAPSD_AAV2S_Sinai_2021,fragility_aware,2,"562,565,568,569,570,572,577",,7527,train
CAPSD_AAV2S_Sinai_2021,motif_avoidance,2,,C,10077,train
CAPSD_AAV2S_Sinai_2021,novelty,3,,,18271,train
CAPSD_AAV2S_Sinai_2021,fragility_aware,3,"562,565,568,569,570,572,577",,12989,train
CAPSD_AAV2S_Sinai_2021,motif_avoidance,3,,C,15725,train
CAPSD_AAV2S_Sinai_2021,novelty,5,,,31215,train
CAPSD_AAV2S_Sinai_2021,fragility_aware,5,"562,565,568,569,570,572,577",,22220,train
CAPSD_AAV2S_Sinai_2021,motif_avoidance,5,,C,25241,train
D7PM05_CLYGR_Somermeyer_2022,novelty,1,,,1169,train
D7PM05_CLYGR_Somermeyer_2022,fragility_aware,1,"11,23,34,36,38,43,45,51,58,59,60,65,66,68,69,70,71,72,73,74,77,78,83,84,85,86,89,92,93,95,97,99,101,104,105,107,109,113,122,128,149,152,166,168,178,182,184,186,189,192,196,197,199,200,201,204,206,224,234",,910,train
D7PM05_CLYGR_Somermeyer_2022,motif_avoidance,1,,C,1117,train
D7PM05_CLYGR_Somermeyer_2022,novelty,2,,,11317,train
D7PM05_CLYGR_Somermeyer_2022,fragility_aware,2,"11,23,34,36,38,43,45,51,58,59,60,65,66,68,69,70,71,72,73,74,77,78,83,84,85,86,89,92,93,95,97,99,101,104,105,107,109,113,122,128,149,152,166,168,178,182,184,186,189,192,196,197,199,200,201,204,206,224,234",,7790,train
D7PM05_CLYGR_Somermeyer_2022,motif_avoidance,2,,C,10373,train
D7PM05_CLYGR_Somermeyer_2022,novelty,3,,,17632,train
D7PM05_CLYGR_Somermeyer_2022,fragility_aware,3,"11,23,34,36,38,43,45,51,58,59,60,65,66,68,69,70,71,72,73,74,77,78,83,84,85,86,89,92,93,95,97,99,101,104,105,107,109,113,122,128,149,152,166,168,178,182,184,186,189,192,196,197,199,200,201,204,206,224,234",,11101,train
D7PM05_CLYGR_Somermeyer_2022,motif_avoidance,3,,C,15893,train
D7PM05_CLYGR_Somermeyer_2022,novelty,5,,,22801,train
D7PM05_CLYGR_Somermeyer_2022,fragility_aware,5,"11,23,34,36,38,43,45,51,58,59,60,65,66,68,69,70,71,72,73,74,77,78,83,84,85,86,89,92,93,95,97,99,101,104,105,107,109,113,122,128,149,152,166,168,178,182,184,186,189,192,196,197,199,200,201,204,206,224,234",,12724,train
D7PM05_CLYGR_Somermeyer_2022,motif_avoidance,5,,C,20073,train
F7YBW8_MESOW_Ding_2023,novelty,1,,,80,train
F7YBW8_MESOW_Ding_2023,fragility_aware,1,"48,74,81",,36,train
F7YBW8_MESOW_Ding_2023,motif_avoidance,1,,C,78,train
F7YBW8_MESOW_Ding_2023,novelty,2,,,166,train
F7YBW8_MESOW_Ding_2023,fragility_aware,2,"48,74,81",,58,train
F7YBW8_MESOW_Ding_2023,motif_avoidance,2,,C,160,train
F7YBW8_MESOW_Ding_2023,novelty,3,,,769,train
F7YBW8_MESOW_Ding_2023,fragility_aware,3,"48,74,81",,104,train
F7YBW8_MESOW_Ding_2023,motif_avoidance,3,,C,701,train
F7YBW8_MESOW_Ding_2023,novelty,5,,,6168,train
F7YBW8_MESOW_Ding_2023,fragility_aware,5,"48,74,81",,176,train
F7YBW8_MESOW_Ding_2023,motif_avoidance,5,,C,5363,train
HIS7_YEAST_Pokusaeva_2019,novelty,1,,,65,train
HIS7_YEAST_Pokusaeva_2019,fragility_aware,1,"66,82,178",,59,train
HIS7_YEAST_Pokusaeva_2019,motif_avoidance,1,,C,62,train
HIS7_YEAST_Pokusaeva_2019,novelty,2,,,677,train
HIS7_YEAST_Pokusaeva_2019,fragility_aware,2,"66,82,178",,598,train
HIS7_YEAST_Pokusaeva_2019,motif_avoidance,2,,C,632,train
HIS7_YEAST_Pokusaeva_2019,novelty,3,,,3718,train
HIS7_YEAST_Pokusaeva_2019,fragility_aware,3,"66,82,178",,3057,train
HIS7_YEAST_Pokusaeva_2019,motif_avoidance,3,,C,3449,train
HIS7_YEAST_Pokusaeva_2019,novelty,5,,,38446,train
HIS7_YEAST_Pokusaeva_2019,fragility_aware,5,"66,82,178",,29684,train
HIS7_YEAST_Pokusaeva_2019,motif_avoidance,5,,C,33915,train
PHOT_CHLRE_Chen_2023,novelty,1,,,2122,train
PHOT_CHLRE_Chen_2023,fragility_aware,1,"8,9,10,11,18,19,22,23,26,30,31,32,37,41,42,43,45,47,50,58,72,74,82,84,86,88,90,101,103,105",,1630,train
PHOT_CHLRE_Chen_2023,motif_avoidance,1,,C,2009,train
PHOT_CHLRE_Chen_2023,novelty,2,,,2298,train
PHOT_CHLRE_Chen_2023,fragility_aware,2,"8,9,10,11,18,19,22,23,26,30,31,32,37,41,42,43,45,47,50,58,72,74,82,84,86,88,90,101,103,105",,1806,train
PHOT_CHLRE_Chen_2023,motif_avoidance,2,,C,2152,train
PHOT_CHLRE_Chen_2023,novelty,3,,,3276,train
PHOT_CHLRE_Chen_2023,fragility_aware,3,"8,9,10,11,18,19,22,23,26,30,31,32,37,41,42,43,45,47,50,58,72,74,82,84,86,88,90,101,103,105",,2784,train
PHOT_CHLRE_Chen_2023,motif_avoidance,3,,C,2871,train
PHOT_CHLRE_Chen_2023,novelty,5,,,16444,train
PHOT_CHLRE_Chen_2023,fragility_aware,5,"8,9,10,11,18,19,22,23,26,30,31,32,37,41,42,43,45,47,50,58,72,74,82,84,86,88,90,101,103,105",,15952,train
PHOT_CHLRE_Chen_2023,motif_avoidance,5,,C,10999,train
Q8WTC7_9CNID_Somermeyer_2022,novelty,1,,,1201,train
Q8WTC7_9CNID_Somermeyer_2022,fragility_aware,1,"8,16,27,29,35,40,42,55,56,59,61,62,63,65,66,67,68,69,70,72,74,82,83,84,85,89,92,94,96,100,103,104,108,110,112,121,127,143,145,146,148,150,152,161,165,168,170,179,181,183,185,196,203,205,217,218,222,224,226",,928,train
Q8WTC7_9CNID_Somermeyer_2022,motif_avoidance,1,,C,1151,train
Q8WTC7_9CNID_Somermeyer_2022,novelty,2,,,12461,train
Q8WTC7_9CNID_Somermeyer_2022,fragility_aware,2,"8,16,27,29,35,40,42,55,56,59,61,62,63,65,66,67,68,69,70,72,74,82,83,84,85,89,92,94,96,100,103,104,108,110,112,121,127,143,145,146,148,150,152,161,165,168,170,179,181,183,185,196,203,205,217,218,222,224,226",,8853,train
Q8WTC7_9CNID_Somermeyer_2022,motif_avoidance,2,,C,11462,train
Q8WTC7_9CNID_Somermeyer_2022,novelty,3,,,24102,train
Q8WTC7_9CNID_Somermeyer_2022,fragility_aware,3,"8,16,27,29,35,40,42,55,56,59,61,62,63,65,66,67,68,69,70,72,74,82,83,84,85,89,92,94,96,100,103,104,108,110,112,121,127,143,145,146,148,150,152,161,165,168,170,179,181,183,185,196,203,205,217,218,222,224,226",,16363,train
Q8WTC7_9CNID_Somermeyer_2022,motif_avoidance,3,,C,21879,train
Q8WTC7_9CNID_Somermeyer_2022,novelty,5,,,32188,train
Q8WTC7_9CNID_Somermeyer_2022,fragility_aware,5,"8,16,27,29,35,40,42,55,56,59,61,62,63,65,66,67,68,69,70,72,74,82,83,84,85,89,92,94,96,100,103,104,108,110,112,121,127,143,145,146,148,150,152,161,165,168,170,179,181,183,185,196,203,205,217,218,222,224,226",,20646,train
Q8WTC7_9CNID_Somermeyer_2022,motif_avoidance,5,,C,28727,train
SPG1_STRSG_Wu_2016,novelty,1,,,76,train
SPG1_STRSG_Wu_2016,fragility_aware,1,267,,57,train
SPG1_STRSG_Wu_2016,motif_avoidance,1,,C,72,train
SPG1_STRSG_Wu_2016,novelty,2,,,2167,train
SPG1_STRSG_Wu_2016,fragility_aware,2,267,,1112,train
SPG1_STRSG_Wu_2016,motif_avoidance,2,,C,1947,train
SPG1_STRSG_Wu_2016,novelty,3,,,28186,train
SPG1_STRSG_Wu_2016,fragility_aware,3,267,,7739,train
SPG1_STRSG_Wu_2016,motif_avoidance,3,,C,24044,train
SPG1_STRSG_Wu_2016,novelty,5,,,149360,train
SPG1_STRSG_Wu_2016,fragility_aware,5,267,,7739,train
SPG1_STRSG_Wu_2016,motif_avoidance,5,,C,121656,train
