task_idx,dataset_id,objective,edit_budget,seed,method,beta,n_proposals,n_selected,n_labeled,labeled_fraction,functional_hit_rate_labeled,joint_success_rate_labeled,first_functional_rank,mean_edit_distance,mean_prior_function_prob,mean_plm_score
0,F7YBW8_MESOW_Aakre_2015,novelty,1,0,editguard_diffusion_dplm,1.0,51,50,4,0.08,1.0,1.0,,1.0,0.5597621545449358,
0,F7YBW8_MESOW_Aakre_2015,novelty,1,1,editguard_diffusion_dplm,1.0,55,50,0,0.0,,,,1.0,0.4694412995841206,
0,F7YBW8_MESOW_Aakre_2015,novelty,1,2,editguard_diffusion_dplm,1.0,38,38,0,0.0,,,,1.0,0.5086359829405348,
0,F7YBW8_MESOW_Aakre_2015,novelty,1,3,editguard_diffusion_dplm,1.0,42,42,0,0.0,,,,1.0,0.576137693852357,
0,F7YBW8_MESOW_Aakre_2015,novelty,1,4,editguard_diffusion_dplm,1.0,57,50,0,0.0,,,,1.0,0.5098061781391628,
1,F7YBW8_MESOW_Aakre_2015,fragility_aware,1,0,editguard_diffusion_dplm,1.0,49,49,0,0.0,,,,1.0,0.540819554963772,
1,F7YBW8_MESOW_Aakre_2015,fragility_aware,1,1,editguard_diffusion_dplm,1.0,54,50,0,0.0,,,,1.0,0.5298444149498982,
1,F7YBW8_MESOW_Aakre_2015,fragility_aware,1,2,editguard_diffusion_dplm,1.0,33,33,0,0.0,,,,1.0,0.5289763457826945,
1,F7YBW8_MESOW_Aakre_2015,fragility_aware,1,3,editguard_diffusion_dplm,1.0,42,42,0,0.0,,,,1.0,0.5307866552194765,
1,F7YBW8_MESOW_Aakre_2015,fragility_aware,1,4,editguard_diffusion_dplm,1.0,37,37,0,0.0,,,,1.0,0.4606921115346227,
2,F7YBW8_MESOW_Aakre_2015,motif_avoidance,1,0,editguard_diffusion_dplm,1.0,54,50,3,0.06,1.0,1.0,,1.0,0.5698399876867558,
2,F7YBW8_MESOW_Aakre_2015,motif_avoidance,1,1,editguard_diffusion_dplm,1.0,40,40,0,0.0,,,,1.0,0.5498813517091447,
2,F7YBW8_MESOW_Aakre_2015,motif_avoidance,1,2,editguard_diffusion_dplm,1.0,50,50,0,0.0,,,,1.0,0.5073263457057987,
2,F7YBW8_MESOW_Aakre_2015,motif_avoidance,1,3,editguard_diffusion_dplm,1.0,58,50,3,0.06,1.0,1.0,,1.0,0.4998407046217511,
2,F7YBW8_MESOW_Aakre_2015,motif_avoidance,1,4,editguard_diffusion_dplm,1.0,45,45,3,0.06666666666666667,1.0,1.0,,1.0,0.4694880374607833,
3,F7YBW8_MESOW_Aakre_2015,novelty,2,0,editguard_diffusion_dplm,1.0,80,50,2,0.04,1.0,1.0,,1.28,0.4420905170075975,
3,F7YBW8_MESOW_Aakre_2015,novelty,2,1,editguard_diffusion_dplm,1.0,100,50,0,0.0,,,,1.34,0.43407189137482066,
3,F7YBW8_MESOW_Aakre_2015,novelty,2,2,editguard_diffusion_dplm,1.0,103,50,0,0.0,,,,1.48,0.3842193775692139,
3,F7YBW8_MESOW_Aakre_2015,novelty,2,3,editguard_diffusion_dplm,1.0,97,50,2,0.04,1.0,1.0,,1.08,0.5038139965361746,
3,F7YBW8_MESOW_Aakre_2015,novelty,2,4,editguard_diffusion_dplm,1.0,136,50,1,0.02,1.0,1.0,,1.32,0.458198455142379,
4,F7YBW8_MESOW_Aakre_2015,fragility_aware,2,0,editguard_diffusion_dplm,1.0,98,50,0,0.0,,,,1.22,0.48482719481649394,
4,F7YBW8_MESOW_Aakre_2015,fragility_aware,2,1,editguard_diffusion_dplm,1.0,94,50,0,0.0,,,,1.26,0.4444786564900184,
4,F7YBW8_MESOW_Aakre_2015,fragility_aware,2,2,editguard_diffusion_dplm,1.0,96,50,0,0.0,,,,1.32,0.4474272427168273,
4,F7YBW8_MESOW_Aakre_2015,fragility_aware,2,3,editguard_diffusion_dplm,1.0,99,50,4,0.08,1.0,1.0,,1.2,0.486676115612302,
4,F7YBW8_MESOW_Aakre_2015,fragility_aware,2,4,editguard_diffusion_dplm,1.0,125,50,0,0.0,,,,1.38,0.3941743823792194,
5,F7YBW8_MESOW_Aakre_2015,motif_avoidance,2,0,editguard_diffusion_dplm,1.0,88,50,0,0.0,,,,1.3,0.42504099341267554,
5,F7YBW8_MESOW_Aakre_2015,motif_avoidance,2,1,editguard_diffusion_dplm,1.0,92,50,2,0.04,1.0,1.0,,1.2,0.49531362380746174,
5,F7YBW8_MESOW_Aakre_2015,motif_avoidance,2,2,editguard_diffusion_dplm,1.0,98,50,0,0.0,,,,1.38,0.45148981462218674,
5,F7YBW8_MESOW_Aakre_2015,motif_avoidance,2,3,editguard_diffusion_dplm,1.0,79,50,3,0.06,1.0,1.0,,1.26,0.43918656645567394,
5,F7YBW8_MESOW_Aakre_2015,motif_avoidance,2,4,editguard_diffusion_dplm,1.0,89,50,0,0.0,,,,1.16,0.48945414312684704,
6,F7YBW8_MESOW_Aakre_2015,novelty,3,0,editguard_diffusion_dplm,1.0,143,50,0,0.0,,,,1.62,0.4436802862262021,
6,F7YBW8_MESOW_Aakre_2015,novelty,3,1,editguard_diffusion_dplm,1.0,141,50,0,0.0,,,,1.5,0.42527243321135993,
6,F7YBW8_MESOW_Aakre_2015,novelty,3,2,editguard_diffusion_dplm,1.0,152,50,1,0.02,1.0,1.0,,1.74,0.3880442829221288,
6,F7YBW8_MESOW_Aakre_2015,novelty,3,3,editguard_diffusion_dplm,1.0,139,50,4,0.08,1.0,1.0,,1.56,0.40546783184339796,
6,F7YBW8_MESOW_Aakre_2015,novelty,3,4,editguard_diffusion_dplm,1.0,158,50,1,0.02,1.0,1.0,,1.86,0.3718226078226357,
7,F7YBW8_MESOW_Aakre_2015,fragility_aware,3,0,editguard_diffusion_dplm,1.0,147,50,0,0.0,,,,1.38,0.4617838922811209,
7,F7YBW8_MESOW_Aakre_2015,fragility_aware,3,1,editguard_diffusion_dplm,1.0,156,50,0,0.0,,,,1.86,0.38770355773479825,
7,F7YBW8_MESOW_Aakre_2015,fragility_aware,3,2,editguard_diffusion_dplm,1.0,145,50,0,0.0,,,,1.78,0.3527400792280644,
7,F7YBW8_MESOW_Aakre_2015,fragility_aware,3,3,editguard_diffusion_dplm,1.0,139,50,0,0.0,,,,1.42,0.4134796135383319,
7,F7YBW8_MESOW_Aakre_2015,fragility_aware,3,4,editguard_diffusion_dplm,1.0,138,50,3,0.06,1.0,1.0,,1.38,0.4260406678014486,
8,F7YBW8_MESOW_Aakre_2015,motif_avoidance,3,0,editguard_diffusion_dplm,1.0,115,50,0,0.0,,,,1.8,0.3746326742823433,
8,F7YBW8_MESOW_Aakre_2015,motif_avoidance,3,1,editguard_diffusion_dplm,1.0,168,50,0,0.0,,,,1.84,0.3785959792374422,
8,F7YBW8_MESOW_Aakre_2015,motif_avoidance,3,2,editguard_diffusion_dplm,1.0,145,50,2,0.04,1.0,1.0,,1.76,0.3534418696227636,
8,F7YBW8_MESOW_Aakre_2015,motif_avoidance,3,3,editguard_diffusion_dplm,1.0,153,50,0,0.0,,,,1.46,0.43027081113510135,
8,F7YBW8_MESOW_Aakre_2015,motif_avoidance,3,4,editguard_diffusion_dplm,1.0,145,50,2,0.04,1.0,1.0,,1.5,0.38506128940437556,
9,F7YBW8_MESOW_Aakre_2015,novelty,5,0,editguard_diffusion_dplm,1.0,193,50,6,0.12,1.0,1.0,,2.18,0.35533054356611177,
9,F7YBW8_MESOW_Aakre_2015,novelty,5,1,editguard_diffusion_dplm,1.0,197,50,0,0.0,,,,2.64,0.32533017244711554,
9,F7YBW8_MESOW_Aakre_2015,novelty,5,2,editguard_diffusion_dplm,1.0,183,50,1,0.02,1.0,1.0,,2.32,0.3276489888226058,
9,F7YBW8_MESOW_Aakre_2015,novelty,5,3,editguard_diffusion_dplm,1.0,183,50,1,0.02,1.0,1.0,,2.34,0.3135444619781703,
9,F7YBW8_MESOW_Aakre_2015,novelty,5,4,editguard_diffusion_dplm,1.0,193,50,0,0.0,,,,3.02,0.29319008641938,
10,F7YBW8_MESOW_Aakre_2015,fragility_aware,5,0,editguard_diffusion_dplm,1.0,183,50,0,0.0,,,,2.0,0.3685466276369225,
10,F7YBW8_MESOW_Aakre_2015,fragility_aware,5,1,editguard_diffusion_dplm,1.0,195,50,0,0.0,,,,2.26,0.3241469966926996,
10,F7YBW8_MESOW_Aakre_2015,fragility_aware,5,2,editguard_diffusion_dplm,1.0,185,50,1,0.02,1.0,1.0,,2.58,0.3076330944554496,
10,F7YBW8_MESOW_Aakre_2015,fragility_aware,5,3,editguard_diffusion_dplm,1.0,180,50,0,0.0,,,,2.0,0.3342459788910627,
10,F7YBW8_MESOW_Aakre_2015,fragility_aware,5,4,editguard_diffusion_dplm,1.0,171,50,1,0.02,1.0,1.0,,2.26,0.3479294438017378,
11,F7YBW8_MESOW_Aakre_2015,motif_avoidance,5,0,editguard_diffusion_dplm,1.0,194,50,0,0.0,,,,2.84,0.32339557514254663,
11,F7YBW8_MESOW_Aakre_2015,motif_avoidance,5,1,editguard_diffusion_dplm,1.0,185,50,0,0.0,,,,1.96,0.3654945689827776,
11,F7YBW8_MESOW_Aakre_2015,motif_avoidance,5,2,editguard_diffusion_dplm,1.0,192,50,1,0.02,1.0,1.0,,2.92,0.284136127704503,
11,F7YBW8_MESOW_Aakre_2015,motif_avoidance,5,3,editguard_diffusion_dplm,1.0,189,50,0,0.0,,,,2.7,0.3013197280768645,
11,F7YBW8_MESOW_Aakre_2015,motif_avoidance,5,4,editguard_diffusion_dplm,1.0,190,50,0,0.0,,,,2.82,0.29709415560983443,
12,GCN4_YEAST_Staller_2018,novelty,1,0,editguard_diffusion_dplm,1.0,82,50,0,0.0,,,,1.0,0.41860604516658056,
12,GCN4_YEAST_Staller_2018,novelty,1,1,editguard_diffusion_dplm,1.0,58,50,0,0.0,,,,1.0,0.4512891701834454,
12,GCN4_YEAST_Staller_2018,novelty,1,2,editguard_diffusion_dplm,1.0,72,50,0,0.0,,,,1.0,0.449962711195379,
12,GCN4_YEAST_Staller_2018,novelty,1,3,editguard_diffusion_dplm,1.0,94,50,2,0.04,1.0,1.0,,1.0,0.4411463396511632,
12,GCN4_YEAST_Staller_2018,novelty,1,4,editguard_diffusion_dplm,1.0,75,50,2,0.04,0.5,0.5,,1.0,0.47355161269392354,
13,GCN4_YEAST_Staller_2018,fragility_aware,1,0,editguard_diffusion_dplm,1.0,76,50,0,0.0,,,,1.0,0.4597154238541424,
13,GCN4_YEAST_Staller_2018,fragility_aware,1,1,editguard_diffusion_dplm,1.0,84,50,0,0.0,,,,1.0,0.5089543721836991,
13,GCN4_YEAST_Staller_2018,fragility_aware,1,2,editguard_diffusion_dplm,1.0,84,50,2,0.04,0.5,0.5,,1.0,0.4695635317692171,
13,GCN4_YEAST_Staller_2018,fragility_aware,1,3,editguard_diffusion_dplm,1.0,83,50,1,0.02,1.0,1.0,,1.0,0.4598701076175737,
13,GCN4_YEAST_Staller_2018,fragility_aware,1,4,editguard_diffusion_dplm,1.0,72,50,0,0.0,,,,1.0,0.42192412957811337,
14,GCN4_YEAST_Staller_2018,motif_avoidance,1,0,editguard_diffusion_dplm,1.0,66,50,0,0.0,,,,1.0,0.4794052019850771,
14,GCN4_YEAST_Staller_2018,motif_avoidance,1,1,editguard_diffusion_dplm,1.0,62,50,0,0.0,,,,1.0,0.39511884206426023,
14,GCN4_YEAST_Staller_2018,motif_avoidance,1,2,editguard_diffusion_dplm,1.0,82,50,1,0.02,1.0,1.0,,1.0,0.46559685380281685,
14,GCN4_YEAST_Staller_2018,motif_avoidance,1,3,editguard_diffusion_dplm,1.0,67,50,0,0.0,,,,1.0,0.4686993229621109,
14,GCN4_YEAST_Staller_2018,motif_avoidance,1,4,editguard_diffusion_dplm,1.0,82,50,0,0.0,,,,1.0,0.5112312645354485,
15,GCN4_YEAST_Staller_2018,novelty,2,0,editguard_diffusion_dplm,1.0,172,50,0,0.0,,,,1.3,0.41763164045777335,
15,GCN4_YEAST_Staller_2018,novelty,2,1,editguard_diffusion_dplm,1.0,142,50,1,0.02,1.0,1.0,,1.36,0.36962972135057043,
15,GCN4_YEAST_Staller_2018,novelty,2,2,editguard_diffusion_dplm,1.0,168,50,0,0.0,,,,1.44,0.3655296530862742,
15,GCN4_YEAST_Staller_2018,novelty,2,3,editguard_diffusion_dplm,1.0,134,50,0,0.0,,,,1.36,0.3623163475375643,
15,GCN4_YEAST_Staller_2018,novelty,2,4,editguard_diffusion_dplm,1.0,156,50,0,0.0,,,,1.54,0.35686368521991213,
16,GCN4_YEAST_Staller_2018,fragility_aware,2,0,editguard_diffusion_dplm,1.0,157,50,2,0.04,0.5,0.5,,1.18,0.41234133342871865,
16,GCN4_YEAST_Staller_2018,fragility_aware,2,1,editguard_diffusion_dplm,1.0,166,50,0,0.0,,,,1.46,0.37157158733244516,
16,GCN4_YEAST_Staller_2018,fragility_aware,2,2,editguard_diffusion_dplm,1.0,155,50,0,0.0,,,,1.42,0.36928366362485443,
16,GCN4_YEAST_Staller_2018,fragility_aware,2,3,editguard_diffusion_dplm,1.0,149,50,0,0.0,,,,1.52,0.38061271313836825,
16,GCN4_YEAST_Staller_2018,fragility_aware,2,4,editguard_diffusion_dplm,1.0,159,50,0,0.0,,,,1.28,0.39602222104363677,
17,GCN4_YEAST_Staller_2018,motif_avoidance,2,0,editguard_diffusion_dplm,1.0,137,50,1,0.02,1.0,1.0,,1.02,0.47628195289772535,
17,GCN4_YEAST_Staller_2018,motif_avoidance,2,1,editguard_diffusion_dplm,1.0,160,50,0,0.0,,,,1.2,0.40626437504375235,
17,GCN4_YEAST_Staller_2018,motif_avoidance,2,2,editguard_diffusion_dplm,1.0,149,50,0,0.0,,,,1.24,0.4156880946849927,
17,GCN4_YEAST_Staller_2018,motif_avoidance,2,3,editguard_diffusion_dplm,1.0,147,50,0,0.0,,,,1.64,0.32511536053371826,
17,GCN4_YEAST_Staller_2018,motif_avoidance,2,4,editguard_diffusion_dplm,1.0,124,50,1,0.02,1.0,1.0,,1.6,0.34759724340669884,
18,GCN4_YEAST_Staller_2018,novelty,3,0,editguard_diffusion_dplm,1.0,182,50,0,0.0,,,,1.68,0.364203111349603,
18,GCN4_YEAST_Staller_2018,novelty,3,1,editguard_diffusion_dplm,1.0,168,50,1,0.02,1.0,1.0,,1.62,0.3634994484762334,
18,GCN4_YEAST_Staller_2018,novelty,3,2,editguard_diffusion_dplm,1.0,192,50,0,0.0,,,,2.24,0.2861230069406151,
18,GCN4_YEAST_Staller_2018,novelty,3,3,editguard_diffusion_dplm,1.0,186,50,0,0.0,,,,2.0,0.30833093858061894,
18,GCN4_YEAST_Staller_2018,novelty,3,4,editguard_diffusion_dplm,1.0,181,50,0,0.0,,,,2.12,0.3026504387364206,
19,GCN4_YEAST_Staller_2018,fragility_aware,3,0,editguard_diffusion_dplm,1.0,191,50,0,0.0,,,,1.68,0.3708725554908729,
19,GCN4_YEAST_Staller_2018,fragility_aware,3,1,editguard_diffusion_dplm,1.0,190,50,0,0.0,,,,2.12,0.2961813200650232,
19,GCN4_YEAST_Staller_2018,fragility_aware,3,2,editguard_diffusion_dplm,1.0,185,50,0,0.0,,,,1.96,0.29787807473418815,
19,GCN4_YEAST_Staller_2018,fragility_aware,3,3,editguard_diffusion_dplm,1.0,191,50,0,0.0,,,,2.1,0.3080041419048626,
19,GCN4_YEAST_Staller_2018,fragility_aware,3,4,editguard_diffusion_dplm,1.0,191,50,0,0.0,,,,2.18,0.2956151460324476,
20,GCN4_YEAST_Staller_2018,motif_avoidance,3,0,editguard_diffusion_dplm,1.0,190,50,0,0.0,,,,2.26,0.3272782674744334,
20,GCN4_YEAST_Staller_2018,motif_avoidance,3,1,editguard_diffusion_dplm,1.0,184,50,1,0.02,1.0,1.0,,1.9,0.3191096438178558,
20,GCN4_YEAST_Staller_2018,motif_avoidance,3,2,editguard_diffusion_dplm,1.0,176,50,0,0.0,,,,1.56,0.3959296951099745,
20,GCN4_YEAST_Staller_2018,motif_avoidance,3,3,editguard_diffusion_dplm,1.0,159,50,0,0.0,,,,1.24,0.43375118169797977,
20,GCN4_YEAST_Staller_2018,motif_avoidance,3,4,editguard_diffusion_dplm,1.0,184,50,1,0.02,1.0,1.0,,1.94,0.2907720374585519,
21,GCN4_YEAST_Staller_2018,novelty,5,0,editguard_diffusion_dplm,1.0,200,50,0,0.0,,,,3.16,0.26237009495098307,
21,GCN4_YEAST_Staller_2018,novelty,5,1,editguard_diffusion_dplm,1.0,199,50,0,0.0,,,,3.78,0.2779972164889942,
