task_idx,dataset_id,objective,edit_budget,seed,method,score_col,n_selected,functional_hit_rate,mean_fitness,best_fitness,mean_edit_distance,constraint_satisfaction_rate,joint_success_rate
0,F7YBW8_MESOW_Aakre_2015,novelty,1,0,esm_if_rerank,esm_if_score,37,0.972972972972973,0.9794121798038247,0.9997824194952132,1.0,1.0,0.972972972972973
0,F7YBW8_MESOW_Aakre_2015,novelty,1,1,esm_if_rerank,esm_if_score,37,0.972972972972973,0.9794121798038247,0.9997824194952132,1.0,1.0,0.972972972972973
0,F7YBW8_MESOW_Aakre_2015,novelty,1,2,esm_if_rerank,esm_if_score,37,0.972972972972973,0.9794121798038247,0.9997824194952132,1.0,1.0,0.972972972972973
0,F7YBW8_MESOW_Aakre_2015,novelty,1,3,esm_if_rerank,esm_if_score,37,0.972972972972973,0.9794121798038247,0.9997824194952132,1.0,1.0,0.972972972972973
0,F7YBW8_MESOW_Aakre_2015,novelty,1,4,esm_if_rerank,esm_if_score,37,0.972972972972973,0.9794121798038247,0.9997824194952132,1.0,1.0,0.972972972972973
1,F7YBW8_MESOW_Aakre_2015,fragility_aware,1,0,esm_if_rerank,esm_if_score,32,1.0,0.9926056625326372,0.9997824194952132,1.0,1.0,1.0
1,F7YBW8_MESOW_Aakre_2015,fragility_aware,1,1,esm_if_rerank,esm_if_score,32,1.0,0.9926056625326372,0.9997824194952132,1.0,1.0,1.0
1,F7YBW8_MESOW_Aakre_2015,fragility_aware,1,2,esm_if_rerank,esm_if_score,32,1.0,0.9926056625326372,0.9997824194952132,1.0,1.0,1.0
1,F7YBW8_MESOW_Aakre_2015,fragility_aware,1,3,esm_if_rerank,esm_if_score,32,1.0,0.9926056625326372,0.9997824194952132,1.0,1.0,1.0
1,F7YBW8_MESOW_Aakre_2015,fragility_aware,1,4,esm_if_rerank,esm_if_score,32,1.0,0.9926056625326372,0.9997824194952132,1.0,1.0,1.0
2,F7YBW8_MESOW_Aakre_2015,motif_avoidance,1,0,esm_if_rerank,esm_if_score,37,0.972972972972973,0.9794121798038247,0.9997824194952132,1.0,1.0,0.972972972972973
2,F7YBW8_MESOW_Aakre_2015,motif_avoidance,1,1,esm_if_rerank,esm_if_score,37,0.972972972972973,0.9794121798038247,0.9997824194952132,1.0,1.0,0.972972972972973
2,F7YBW8_MESOW_Aakre_2015,motif_avoidance,1,2,esm_if_rerank,esm_if_score,37,0.972972972972973,0.9794121798038247,0.9997824194952132,1.0,1.0,0.972972972972973
2,F7YBW8_MESOW_Aakre_2015,motif_avoidance,1,3,esm_if_rerank,esm_if_score,37,0.972972972972973,0.9794121798038247,0.9997824194952132,1.0,1.0,0.972972972972973
2,F7YBW8_MESOW_Aakre_2015,motif_avoidance,1,4,esm_if_rerank,esm_if_score,37,0.972972972972973,0.9794121798038247,0.9997824194952132,1.0,1.0,0.972972972972973
3,F7YBW8_MESOW_Aakre_2015,novelty,2,0,esm_if_rerank,esm_if_score,50,0.86,0.8861422976501305,0.9992384682332462,1.84,1.0,0.86
3,F7YBW8_MESOW_Aakre_2015,novelty,2,1,esm_if_rerank,esm_if_score,50,0.86,0.8861422976501305,0.9992384682332462,1.84,1.0,0.86
3,F7YBW8_MESOW_Aakre_2015,novelty,2,2,esm_if_rerank,esm_if_score,50,0.86,0.8861422976501305,0.9992384682332462,1.84,1.0,0.86
