method,metric,mean,median,ci_lo,ci_hi,std,n
dms_pool_guided,functional_hit_rate,0.6052547792547792,0.5769230769230769,0.5810853867853868,0.6327249466249466,0.20765855353981055,180
dms_pool_guided,joint_success_rate,0.6052547792547792,0.5769230769230769,0.5810853867853868,0.6327249466249466,0.20765855353981055,180
dms_pool_guided,constraint_satisfaction_rate,1.0,1.0,1.0,1.0,0.0,180
dms_prior_rerank,functional_hit_rate,0.8652547792547791,0.972972972972973,0.8431422261422263,0.8860421162421163,0.17785959094242174,180
dms_prior_rerank,joint_success_rate,0.8652547792547791,0.972972972972973,0.8431422261422263,0.8860421162421163,0.17785959094242174,180
dms_prior_rerank,constraint_satisfaction_rate,1.0,1.0,1.0,1.0,0.0,180
editguard_guided,functional_hit_rate,0.7925881125881126,0.96,0.7645952546952549,0.8208835888335888,0.22673909579982537,180
editguard_guided,joint_success_rate,0.7925881125881126,0.96,0.7645952546952549,0.8208835888335888,0.22673909579982537,180
editguard_guided,constraint_satisfaction_rate,1.0,1.0,1.0,1.0,0.0,180
esm2_masked_marginal,functional_hit_rate,0.7213658903658904,0.68,0.6967478828478828,0.7457843073843073,0.19201853902701324,180
esm2_masked_marginal,joint_success_rate,0.7213658903658904,0.68,0.6967478828478828,0.7457843073843073,0.19201853902701324,180
esm2_masked_marginal,constraint_satisfaction_rate,1.0,1.0,1.0,1.0,0.0,180
esm2_masked_marginal_dms_rerank,functional_hit_rate,0.8484770014770014,0.96,0.8266520783020783,0.8689092785092783,0.17367268246213724,180
esm2_masked_marginal_dms_rerank,joint_success_rate,0.8484770014770014,0.96,0.8266520783020783,0.8689092785092783,0.17367268246213724,180
esm2_masked_marginal_dms_rerank,constraint_satisfaction_rate,1.0,1.0,1.0,1.0,0.0,180
esm_if_rerank,functional_hit_rate,0.6909214459214458,0.7,0.6678897883897884,0.713648748048748,0.18454954291564082,180
esm_if_rerank,joint_success_rate,0.6909214459214458,0.7,0.6678897883897884,0.713648748048748,0.18454954291564082,180
esm_if_rerank,constraint_satisfaction_rate,1.0,1.0,1.0,1.0,0.0,180
eve_ensemble_rerank,functional_hit_rate,0.771032557032557,0.79,0.7460687208187208,0.7941550711550712,0.1963211563805908,180
eve_ensemble_rerank,joint_success_rate,0.771032557032557,0.79,0.7460687208187208,0.7941550711550712,0.1963211563805908,180
eve_ensemble_rerank,constraint_satisfaction_rate,1.0,1.0,1.0,1.0,0.0,180
novelty,functional_hit_rate,0.5028103348103348,0.5,0.46807504847504855,0.5389810782810782,0.28803832864014095,180
novelty,joint_success_rate,0.5028103348103348,0.5,0.46807504847504855,0.5389810782810782,0.28803832864014095,180
novelty,constraint_satisfaction_rate,1.0,1.0,1.0,1.0,0.0,180
objective_only,functional_hit_rate,0.5423658903658903,0.52,0.5111815416815417,0.5756585092085093,0.25508429385194664,180
objective_only,joint_success_rate,0.5423658903658903,0.52,0.5111815416815417,0.5756585092085093,0.25508429385194664,180
objective_only,constraint_satisfaction_rate,1.0,1.0,1.0,1.0,0.0,180
random,functional_hit_rate,0.5584770014770015,0.5151515151515151,0.5316751468251468,0.5869017388017388,0.22323125861668333,180
random,joint_success_rate,0.5584770014770015,0.5151515151515151,0.5316751468251468,0.5869017388017388,0.22323125861668333,180
random,constraint_satisfaction_rate,1.0,1.0,1.0,1.0,0.0,180
tranception_l_rerank,functional_hit_rate,0.7974770014770014,0.86,0.7727160853160853,0.8209318906318908,0.19447156120518455,180
tranception_l_rerank,joint_success_rate,0.7974770014770014,0.86,0.7727160853160853,0.8209318906318908,0.19447156120518455,180
tranception_l_rerank,constraint_satisfaction_rate,1.0,1.0,1.0,1.0,0.0,180
