method_a,method_b,metric,n_pairs,mean_delta,p_value,p_holm_within_metric
dms_prior_rerank,dms_pool_guided,functional_hit_rate,180,0.26,3.4882277620338335e-25,2.4417594334236833e-24
dms_prior_rerank,dms_pool_guided,joint_success_rate,180,0.26,3.4882277620338335e-25,
dms_prior_rerank,editguard_guided,functional_hit_rate,180,0.07266666666666667,2.3670228120909973e-07,2.3670228120909973e-07
dms_prior_rerank,editguard_guided,joint_success_rate,180,0.07266666666666667,2.3670228120909973e-07,
dms_prior_rerank,esm2_masked_marginal,functional_hit_rate,180,0.14388888888888887,5.626877326746255e-24,3.3761263960477533e-23
dms_prior_rerank,esm2_masked_marginal,joint_success_rate,180,0.14388888888888887,5.626877326746255e-24,
dms_prior_rerank,esm2_masked_marginal_dms_rerank,functional_hit_rate,180,0.01677777777777778,2.820206715040935e-08,5.64041343008187e-08
dms_prior_rerank,esm2_masked_marginal_dms_rerank,joint_success_rate,180,0.01677777777777778,2.820206715040935e-08,
dms_prior_rerank,esm_if_rerank,functional_hit_rate,180,0.17433333333333334,1.3809608102906282e-25,1.380960810290628e-24
dms_prior_rerank,esm_if_rerank,joint_success_rate,180,0.17433333333333334,1.3809608102906282e-25,
dms_prior_rerank,eve_ensemble_rerank,functional_hit_rate,180,0.09422222222222221,4.158465150224765e-19,1.663386060089906e-18
dms_prior_rerank,eve_ensemble_rerank,joint_success_rate,180,0.09422222222222221,4.158465150224765e-19,
dms_prior_rerank,novelty,functional_hit_rate,180,0.3624444444444444,6.14843100900258e-24,3.3761263960477533e-23
dms_prior_rerank,novelty,joint_success_rate,180,0.3624444444444444,6.14843100900258e-24,
dms_prior_rerank,objective_only,functional_hit_rate,180,0.3228888888888889,1.4835589664480087e-25,1.380960810290628e-24
dms_prior_rerank,objective_only,joint_success_rate,180,0.3228888888888889,1.4835589664480087e-25,
dms_prior_rerank,random,functional_hit_rate,180,0.30677777777777776,2.199983502021245e-25,1.759986801616996e-24
dms_prior_rerank,random,joint_success_rate,180,0.30677777777777776,2.199983502021245e-25,
dms_prior_rerank,tranception_l_rerank,functional_hit_rate,180,0.06777777777777778,7.751898790746489e-19,2.325569637223947e-18
dms_prior_rerank,tranception_l_rerank,joint_success_rate,180,0.06777777777777778,7.751898790746489e-19,
