method,n_selected,functional_hit_rate,mean_fitness,best_fitness,mean_edit_distance,constraint_satisfaction_rate,joint_success_rate,task_idx,dataset_id,objective,edit_budget,seed
random,50,0.14,0.5346607446607446,0.9407011907011907,1.0,1.0,0.14,0,CAPSD_AAV2S_Sinai_2021,novelty,1,0
novelty,50,0.06,0.4757512757512757,0.8570213570213571,1.0,1.0,0.06,0,CAPSD_AAV2S_Sinai_2021,novelty,1,0
objective_only,50,0.06,0.4757512757512757,0.8570213570213571,1.0,1.0,0.06,0,CAPSD_AAV2S_Sinai_2021,novelty,1,0
dms_prior_rerank,50,0.9,0.8717151767151766,0.9884709884709885,1.0,1.0,0.9,0,CAPSD_AAV2S_Sinai_2021,novelty,1,0
editguard_guided,50,0.9,0.8717151767151766,0.9884709884709885,1.0,1.0,0.9,0,CAPSD_AAV2S_Sinai_2021,novelty,1,0
random,50,0.08,0.4971021546021545,0.9321725571725572,1.0,1.0,0.08,0,CAPSD_AAV2S_Sinai_2021,novelty,1,1
novelty,50,0.06,0.4757512757512757,0.8570213570213571,1.0,1.0,0.06,0,CAPSD_AAV2S_Sinai_2021,novelty,1,1
objective_only,50,0.06,0.4757512757512757,0.8570213570213571,1.0,1.0,0.06,0,CAPSD_AAV2S_Sinai_2021,novelty,1,1
dms_prior_rerank,50,0.9,0.8717151767151766,0.9884709884709885,1.0,1.0,0.9,0,CAPSD_AAV2S_Sinai_2021,novelty,1,1
editguard_guided,50,0.9,0.8717151767151766,0.9884709884709885,1.0,1.0,0.9,0,CAPSD_AAV2S_Sinai_2021,novelty,1,1
random,50,0.26,0.5668195993195994,0.9677990927990928,1.0,1.0,0.26,0,CAPSD_AAV2S_Sinai_2021,novelty,1,2
novelty,50,0.06,0.4757512757512757,0.8570213570213571,1.0,1.0,0.06,0,CAPSD_AAV2S_Sinai_2021,novelty,1,2
objective_only,50,0.06,0.4757512757512757,0.8570213570213571,1.0,1.0,0.06,0,CAPSD_AAV2S_Sinai_2021,novelty,1,2
dms_prior_rerank,50,0.9,0.8717151767151766,0.9884709884709885,1.0,1.0,0.9,0,CAPSD_AAV2S_Sinai_2021,novelty,1,2
editguard_guided,50,0.9,0.8717151767151766,0.9884709884709885,1.0,1.0,0.9,0,CAPSD_AAV2S_Sinai_2021,novelty,1,2
random,50,0.2,0.5938433188433188,0.9677990927990928,1.0,1.0,0.2,1,CAPSD_AAV2S_Sinai_2021,fragility_aware,1,0
novelty,50,0.04,0.531593744093744,0.8570213570213571,1.0,1.0,0.04,1,CAPSD_AAV2S_Sinai_2021,fragility_aware,1,0
objective_only,50,0.04,0.531593744093744,0.8570213570213571,1.0,1.0,0.04,1,CAPSD_AAV2S_Sinai_2021,fragility_aware,1,0
dms_prior_rerank,50,0.9,0.8717151767151766,0.9884709884709885,1.0,1.0,0.9,1,CAPSD_AAV2S_Sinai_2021,fragility_aware,1,0
editguard_guided,50,0.9,0.8717151767151766,0.9884709884709885,1.0,1.0,0.9,1,CAPSD_AAV2S_Sinai_2021,fragility_aware,1,0
random,50,0.12,0.5668762993762995,0.9595539595539595,1.0,1.0,0.12,1,CAPSD_AAV2S_Sinai_2021,fragility_aware,1,1
novelty,50,0.04,0.531593744093744,0.8570213570213571,1.0,1.0,0.04,1,CAPSD_AAV2S_Sinai_2021,fragility_aware,1,1
objective_only,50,0.04,0.531593744093744,0.8570213570213571,1.0,1.0,0.04,1,CAPSD_AAV2S_Sinai_2021,fragility_aware,1,1
dms_prior_rerank,50,0.9,0.8717151767151766,0.9884709884709885,1.0,1.0,0.9,1,CAPSD_AAV2S_Sinai_2021,fragility_aware,1,1
editguard_guided,50,0.9,0.8717151767151766,0.9884709884709885,1.0,1.0,0.9,1,CAPSD_AAV2S_Sinai_2021,fragility_aware,1,1
random,50,0.16,0.5526200151200151,0.9807692307692307,1.0,1.0,0.16,1,CAPSD_AAV2S_Sinai_2021,fragility_aware,1,2
novelty,50,0.04,0.531593744093744,0.8570213570213571,1.0,1.0,0.04,1,CAPSD_AAV2S_Sinai_2021,fragility_aware,1,2
objective_only,50,0.04,0.531593744093744,0.8570213570213571,1.0,1.0,0.04,1,CAPSD_AAV2S_Sinai_2021,fragility_aware,1,2
dms_prior_rerank,50,0.9,0.8717151767151766,0.9884709884709885,1.0,1.0,0.9,1,CAPSD_AAV2S_Sinai_2021,fragility_aware,1,2
editguard_guided,50,0.9,0.8717151767151766,0.9884709884709885,1.0,1.0,0.9,1,CAPSD_AAV2S_Sinai_2021,fragility_aware,1,2
random,50,0.12,0.5143975618975619,0.9596484596484597,1.0,1.0,0.12,2,CAPSD_AAV2S_Sinai_2021,motif_avoidance,1,0
novelty,50,0.06,0.4629507654507654,0.8570213570213571,1.0,1.0,0.06,2,CAPSD_AAV2S_Sinai_2021,motif_avoidance,1,0
objective_only,50,0.06,0.4629507654507654,0.8570213570213571,1.0,1.0,0.06,2,CAPSD_AAV2S_Sinai_2021,motif_avoidance,1,0
dms_prior_rerank,50,0.92,0.8788537138537137,0.9884709884709885,1.0,1.0,0.92,2,CAPSD_AAV2S_Sinai_2021,motif_avoidance,1,0
editguard_guided,50,0.92,0.8788537138537137,0.9884709884709885,1.0,1.0,0.92,2,CAPSD_AAV2S_Sinai_2021,motif_avoidance,1,0
random,50,0.1,0.5027915327915328,0.8816386316386317,1.0,1.0,0.1,2,CAPSD_AAV2S_Sinai_2021,motif_avoidance,1,1
novelty,50,0.06,0.4629507654507654,0.8570213570213571,1.0,1.0,0.06,2,CAPSD_AAV2S_Sinai_2021,motif_avoidance,1,1
