dataset_id,objective,edit_budget,protected_positions,forbidden_residues,n_candidates
CAPSD_AAV2S_Sinai_2021,novelty,1,,,532
CAPSD_AAV2S_Sinai_2021,fragility_aware,1,"562,565,568,569,570,572,577",,399
CAPSD_AAV2S_Sinai_2021,motif_avoidance,1,,C,504
CAPSD_AAV2S_Sinai_2021,novelty,2,,,11365
CAPSD_AAV2S_Sinai_2021,fragility_aware,2,"562,565,568,569,570,572,577",,7527
CAPSD_AAV2S_Sinai_2021,motif_avoidance,2,,C,10077
CAPSD_AAV2S_Sinai_2021,novelty,3,,,18271
CAPSD_AAV2S_Sinai_2021,fragility_aware,3,"562,565,568,569,570,572,577",,12989
CAPSD_AAV2S_Sinai_2021,motif_avoidance,3,,C,15725
CAPSD_AAV2S_Sinai_2021,novelty,5,,,31215
CAPSD_AAV2S_Sinai_2021,fragility_aware,5,"562,565,568,569,570,572,577",,22220
CAPSD_AAV2S_Sinai_2021,motif_avoidance,5,,C,25241
D7PM05_CLYGR_Somermeyer_2022,novelty,1,,,1169
D7PM05_CLYGR_Somermeyer_2022,fragility_aware,1,"11,23,34,36,38,43,45,51,58,59,60,65,66,68,69,70,71,72,73,74,77,78,83,84,85,86,89,92,93,95,97,99,101,104,105,107,109,113,122,128,149,152,166,168,178,182,184,186,189,192,196,197,199,200,201,204,206,224,234",,910
D7PM05_CLYGR_Somermeyer_2022,motif_avoidance,1,,C,1117
D7PM05_CLYGR_Somermeyer_2022,novelty,2,,,11317
D7PM05_CLYGR_Somermeyer_2022,fragility_aware,2,"11,23,34,36,38,43,45,51,58,59,60,65,66,68,69,70,71,72,73,74,77,78,83,84,85,86,89,92,93,95,97,99,101,104,105,107,109,113,122,128,149,152,166,168,178,182,184,186,189,192,196,197,199,200,201,204,206,224,234",,7790
D7PM05_CLYGR_Somermeyer_2022,motif_avoidance,2,,C,10373
D7PM05_CLYGR_Somermeyer_2022,novelty,3,,,17632
D7PM05_CLYGR_Somermeyer_2022,fragility_aware,3,"11,23,34,36,38,43,45,51,58,59,60,65,66,68,69,70,71,72,73,74,77,78,83,84,85,86,89,92,93,95,97,99,101,104,105,107,109,113,122,128,149,152,166,168,178,182,184,186,189,192,196,197,199,200,201,204,206,224,234",,11101
D7PM05_CLYGR_Somermeyer_2022,motif_avoidance,3,,C,15893
D7PM05_CLYGR_Somermeyer_2022,novelty,5,,,22801
D7PM05_CLYGR_Somermeyer_2022,fragility_aware,5,"11,23,34,36,38,43,45,51,58,59,60,65,66,68,69,70,71,72,73,74,77,78,83,84,85,86,89,92,93,95,97,99,101,104,105,107,109,113,122,128,149,152,166,168,178,182,184,186,189,192,196,197,199,200,201,204,206,224,234",,12724
D7PM05_CLYGR_Somermeyer_2022,motif_avoidance,5,,C,20073
F7YBW8_MESOW_Aakre_2015,novelty,2,,,536
F7YBW8_MESOW_Aakre_2015,fragility_aware,2,60,,371
F7YBW8_MESOW_Aakre_2015,motif_avoidance,2,,C,536
F7YBW8_MESOW_Aakre_2015,novelty,3,,,3334
F7YBW8_MESOW_Aakre_2015,fragility_aware,3,60,,1480
F7YBW8_MESOW_Aakre_2015,motif_avoidance,3,,C,3334
F7YBW8_MESOW_Aakre_2015,novelty,5,,,9192
F7YBW8_MESOW_Aakre_2015,fragility_aware,5,60,,1480
F7YBW8_MESOW_Aakre_2015,motif_avoidance,5,,C,9192
F7YBW8_MESOW_Ding_2023,novelty,1,,,80
F7YBW8_MESOW_Ding_2023,motif_avoidance,1,,C,78
F7YBW8_MESOW_Ding_2023,novelty,2,,,166
F7YBW8_MESOW_Ding_2023,fragility_aware,2,"48,74,81",,58
F7YBW8_MESOW_Ding_2023,motif_avoidance,2,,C,160
F7YBW8_MESOW_Ding_2023,novelty,3,,,769
F7YBW8_MESOW_Ding_2023,fragility_aware,3,"48,74,81",,104
F7YBW8_MESOW_Ding_2023,motif_avoidance,3,,C,701
F7YBW8_MESOW_Ding_2023,novelty,5,,,6168
F7YBW8_MESOW_Ding_2023,fragility_aware,5,"48,74,81",,176
F7YBW8_MESOW_Ding_2023,motif_avoidance,5,,C,5363
GCN4_YEAST_Staller_2018,novelty,2,,,88
GCN4_YEAST_Staller_2018,fragility_aware,2,"108,124,142",,78
GCN4_YEAST_Staller_2018,motif_avoidance,2,,C,87
GCN4_YEAST_Staller_2018,novelty,3,,,237
GCN4_YEAST_Staller_2018,fragility_aware,3,"108,124,142",,197
GCN4_YEAST_Staller_2018,motif_avoidance,3,,C,219
GCN4_YEAST_Staller_2018,novelty,5,,,1225
GCN4_YEAST_Staller_2018,fragility_aware,5,"108,124,142",,886
GCN4_YEAST_Staller_2018,motif_avoidance,5,,C,1013
GFP_AEQVI_Sarkisyan_2016,novelty,1,,,1084
GFP_AEQVI_Sarkisyan_2016,fragility_aware,1,"13,16,18,22,23,24,27,29,33,35,40,44,48,51,53,54,55,59,60,61,65,66,67,69,70,74,82,83,85,88,91,92,94,96,98,100,106,109,110,112,121,123,125,127,141,169,181,183,199,201,207,210,213,216,217,218,220,222",,864
GFP_AEQVI_Sarkisyan_2016,motif_avoidance,1,,C,1037
GFP_AEQVI_Sarkisyan_2016,novelty,2,,,13861
GFP_AEQVI_Sarkisyan_2016,fragility_aware,2,"13,16,18,22,23,24,27,29,33,35,40,44,48,51,53,54,55,59,60,61,65,66,67,69,70,74,82,83,85,88,91,92,94,96,98,100,106,109,110,112,121,123,125,127,141,169,181,183,199,201,207,210,213,216,217,218,220,222",,10548
GFP_AEQVI_Sarkisyan_2016,motif_avoidance,2,,C,13067
GFP_AEQVI_Sarkisyan_2016,novelty,3,,,26197
GFP_AEQVI_Sarkisyan_2016,fragility_aware,3,"13,16,18,22,23,24,27,29,33,35,40,44,48,51,53,54,55,59,60,61,65,66,67,69,70,74,82,83,85,88,91,92,94,96,98,100,106,109,110,112,121,123,125,127,141,169,181,183,199,201,207,210,213,216,217,218,220,222",,18487
GFP_AEQVI_Sarkisyan_2016,motif_avoidance,3,,C,24384
GFP_AEQVI_Sarkisyan_2016,novelty,5,,,42409
