task_idx,dataset_id,objective,edit_budget,seed,method,n_selected,functional_hit_rate,mean_fitness,best_fitness,mean_edit_distance,constraint_satisfaction_rate,joint_success_rate
0,CAPSD_AAV2S_Sinai_2021,novelty,1,0,editguard_diffusion,50,0.84,0.8426167076167076,0.9884709884709885,1.0,1.0,0.84
0,CAPSD_AAV2S_Sinai_2021,novelty,1,1,editguard_diffusion,50,0.84,0.8387620487620489,0.9884709884709885,1.0,1.0,0.84
0,CAPSD_AAV2S_Sinai_2021,novelty,1,2,editguard_diffusion,50,0.86,0.8585078435078435,0.9807692307692307,1.0,1.0,0.86
0,CAPSD_AAV2S_Sinai_2021,novelty,1,3,editguard_diffusion,50,0.7,0.7980192780192781,0.9884709884709885,1.0,1.0,0.7
0,CAPSD_AAV2S_Sinai_2021,novelty,1,4,editguard_diffusion,50,0.8,0.8306879606879606,0.9807692307692307,1.0,1.0,0.8
1,CAPSD_AAV2S_Sinai_2021,fragility_aware,1,0,editguard_diffusion,50,0.8,0.8258694008694007,0.9807692307692307,1.0,1.0,0.8
1,CAPSD_AAV2S_Sinai_2021,fragility_aware,1,1,editguard_diffusion,50,0.86,0.8474598374598376,0.9884709884709885,1.0,1.0,0.86
1,CAPSD_AAV2S_Sinai_2021,fragility_aware,1,2,editguard_diffusion,50,0.86,0.8496177471177472,0.9884709884709885,1.0,1.0,0.86
1,CAPSD_AAV2S_Sinai_2021,fragility_aware,1,3,editguard_diffusion,50,0.76,0.8275704025704025,0.9884709884709885,1.0,1.0,0.76
1,CAPSD_AAV2S_Sinai_2021,fragility_aware,1,4,editguard_diffusion,50,0.8,0.8257437157437156,0.9807692307692307,1.0,1.0,0.8
2,CAPSD_AAV2S_Sinai_2021,motif_avoidance,1,0,editguard_diffusion,50,0.84,0.8429890379890381,0.9884709884709885,1.0,1.0,0.84
2,CAPSD_AAV2S_Sinai_2021,motif_avoidance,1,1,editguard_diffusion,50,0.84,0.8404025704025705,0.9807692307692307,1.0,1.0,0.84
2,CAPSD_AAV2S_Sinai_2021,motif_avoidance,1,2,editguard_diffusion,50,0.92,0.8783448308448308,0.9884709884709885,1.0,1.0,0.92
2,CAPSD_AAV2S_Sinai_2021,motif_avoidance,1,3,editguard_diffusion,50,0.8,0.8163952938952939,0.9884709884709885,1.0,1.0,0.8
2,CAPSD_AAV2S_Sinai_2021,motif_avoidance,1,4,editguard_diffusion,50,0.82,0.8248464373464374,0.9884709884709885,1.0,1.0,0.82
3,CAPSD_AAV2S_Sinai_2021,novelty,2,0,editguard_diffusion,50,0.7,0.7828456340956342,0.9996219996219996,1.96,1.0,0.7
3,CAPSD_AAV2S_Sinai_2021,novelty,2,1,editguard_diffusion,50,0.64,0.7515585428085427,0.9987242487242487,2.0,1.0,0.64
3,CAPSD_AAV2S_Sinai_2021,novelty,2,2,editguard_diffusion,50,0.66,0.7849532224532224,0.9927471177471178,1.96,1.0,0.66
3,CAPSD_AAV2S_Sinai_2021,novelty,2,3,editguard_diffusion,50,0.7,0.7696184558684558,0.9951804951804952,1.98,1.0,0.7
3,CAPSD_AAV2S_Sinai_2021,novelty,2,4,editguard_diffusion,50,0.66,0.738967113967114,0.9976374976374976,2.0,1.0,0.66
4,CAPSD_AAV2S_Sinai_2021,fragility_aware,2,0,editguard_diffusion,50,0.7,0.7926452938952938,0.9957474957474958,1.98,1.0,0.7
4,CAPSD_AAV2S_Sinai_2021,fragility_aware,2,1,editguard_diffusion,50,0.62,0.7605710168210169,0.9954167454167454,1.98,1.0,0.62
4,CAPSD_AAV2S_Sinai_2021,fragility_aware,2,2,editguard_diffusion,50,0.7,0.8102674352674352,0.9966452466452467,1.96,1.0,0.7
4,CAPSD_AAV2S_Sinai_2021,fragility_aware,2,3,editguard_diffusion,50,0.68,0.752732233982234,0.9975429975429976,2.0,1.0,0.68
4,CAPSD_AAV2S_Sinai_2021,fragility_aware,2,4,editguard_diffusion,50,0.6,0.7144540257040258,0.9957238707238707,2.0,1.0,0.6
5,CAPSD_AAV2S_Sinai_2021,motif_avoidance,2,0,editguard_diffusion,50,0.64,0.7801476563976564,0.9951568701568702,2.0,1.0,0.64
5,CAPSD_AAV2S_Sinai_2021,motif_avoidance,2,1,editguard_diffusion,50,0.68,0.7562336987336987,0.9947552447552448,1.92,1.0,0.68
5,CAPSD_AAV2S_Sinai_2021,motif_avoidance,2,2,editguard_diffusion,50,0.74,0.7955027405027405,0.9980627480627481,2.0,1.0,0.74
5,CAPSD_AAV2S_Sinai_2021,motif_avoidance,2,3,editguard_diffusion,50,0.64,0.7452289264789265,0.9996928746928747,1.96,1.0,0.64
5,CAPSD_AAV2S_Sinai_2021,motif_avoidance,2,4,editguard_diffusion,50,0.76,0.7922465034965036,0.9907153657153657,1.94,1.0,0.76
6,CAPSD_AAV2S_Sinai_2021,novelty,3,0,editguard_diffusion,50,0.68,0.7665757890757889,0.9969051219051219,2.66,1.0,0.68
6,CAPSD_AAV2S_Sinai_2021,novelty,3,1,editguard_diffusion,50,0.52,0.722333916083916,0.9970704970704971,2.7,1.0,0.52
6,CAPSD_AAV2S_Sinai_2021,novelty,3,2,editguard_diffusion,50,0.56,0.7429179266679268,0.9841476091476091,2.72,1.0,0.56
6,CAPSD_AAV2S_Sinai_2021,novelty,3,3,editguard_diffusion,50,0.7,0.7948081648081647,0.9975902475902476,2.72,1.0,0.7
6,CAPSD_AAV2S_Sinai_2021,novelty,3,4,editguard_diffusion,50,0.76,0.7873157248157249,0.9992203742203742,2.74,1.0,0.76
7,CAPSD_AAV2S_Sinai_2021,fragility_aware,3,0,editguard_diffusion,50,0.6,0.7445834908334907,0.999007749007749,2.48,1.0,0.6
7,CAPSD_AAV2S_Sinai_2021,fragility_aware,3,1,editguard_diffusion,50,0.68,0.7995454545454547,0.995912870912871,2.62,1.0,0.68
7,CAPSD_AAV2S_Sinai_2021,fragility_aware,3,2,editguard_diffusion,50,0.62,0.7545284445284446,0.9987951237951238,2.72,1.0,0.62
7,CAPSD_AAV2S_Sinai_2021,fragility_aware,3,3,editguard_diffusion,50,0.6,0.74642766017766,0.9944008694008694,2.58,1.0,0.6
7,CAPSD_AAV2S_Sinai_2021,fragility_aware,3,4,editguard_diffusion,50,0.68,0.7824879512379513,0.9975902475902476,2.64,1.0,0.68
8,CAPSD_AAV2S_Sinai_2021,motif_avoidance,3,0,editguard_diffusion,50,0.56,0.7426618314118314,0.9893214893214893,2.54,1.0,0.56
8,CAPSD_AAV2S_Sinai_2021,motif_avoidance,3,1,editguard_diffusion,50,0.7,0.7634171234171234,0.9922273672273673,2.58,1.0,0.7
8,CAPSD_AAV2S_Sinai_2021,motif_avoidance,3,2,editguard_diffusion,50,0.7,0.7705273105273105,0.9975902475902476,2.7,1.0,0.7
8,CAPSD_AAV2S_Sinai_2021,motif_avoidance,3,3,editguard_diffusion,50,0.72,0.7900533925533927,0.9966924966924967,2.64,1.0,0.72
8,CAPSD_AAV2S_Sinai_2021,motif_avoidance,3,4,editguard_diffusion,50,0.56,0.7391551691551692,0.9950623700623701,2.62,1.0,0.56
9,CAPSD_AAV2S_Sinai_2021,novelty,5,0,editguard_diffusion,50,0.52,0.6765417690417691,0.999031374031374,3.32,1.0,0.52
9,CAPSD_AAV2S_Sinai_2021,novelty,5,1,editguard_diffusion,50,0.62,0.7392021829521831,0.99003024003024,3.12,1.0,0.62
9,CAPSD_AAV2S_Sinai_2021,novelty,5,2,editguard_diffusion,50,0.66,0.7385262710262711,0.9889434889434889,3.2,1.0,0.66
9,CAPSD_AAV2S_Sinai_2021,novelty,5,3,editguard_diffusion,50,0.56,0.7256690606690606,0.9994566244566244,3.36,1.0,0.56
9,CAPSD_AAV2S_Sinai_2021,novelty,5,4,editguard_diffusion,50,0.48,0.7188877338877337,0.9976847476847477,3.18,1.0,0.48
10,CAPSD_AAV2S_Sinai_2021,fragility_aware,5,0,editguard_diffusion,50,0.62,0.752720893970894,0.9969287469287469,3.06,1.0,0.62
10,CAPSD_AAV2S_Sinai_2021,fragility_aware,5,1,editguard_diffusion,50,0.62,0.7494174069174071,0.9934558684558684,2.98,1.0,0.62
10,CAPSD_AAV2S_Sinai_2021,fragility_aware,5,2,editguard_diffusion,50,0.56,0.7419112644112645,0.9957238707238707,3.2,1.0,0.56
10,CAPSD_AAV2S_Sinai_2021,fragility_aware,5,3,editguard_diffusion,50,0.46,0.7048941598941597,0.9986533736533737,3.14,1.0,0.46
10,CAPSD_AAV2S_Sinai_2021,fragility_aware,5,4,editguard_diffusion,50,0.68,0.7887041674541675,0.9942827442827443,3.12,1.0,0.68
11,CAPSD_AAV2S_Sinai_2021,motif_avoidance,5,0,editguard_diffusion,50,0.56,0.7351436401436402,0.9952749952749953,3.16,1.0,0.56
11,CAPSD_AAV2S_Sinai_2021,motif_avoidance,5,1,editguard_diffusion,50,0.6,0.7475500850500851,0.997968247968248,3.14,1.0,0.6
11,CAPSD_AAV2S_Sinai_2021,motif_avoidance,5,2,editguard_diffusion,50,0.7,0.7920875070875071,0.9962199962199962,2.82,1.0,0.7
11,CAPSD_AAV2S_Sinai_2021,motif_avoidance,5,3,editguard_diffusion,50,0.6,0.7579831317331318,0.9991967491967492,3.24,1.0,0.6
11,CAPSD_AAV2S_Sinai_2021,motif_avoidance,5,4,editguard_diffusion,50,0.62,0.7570133245133245,0.9946134946134946,3.06,1.0,0.62
12,D7PM05_CLYGR_Somermeyer_2022,novelty,1,0,editguard_diffusion,50,0.66,0.75579196410361,0.9790332449520701,1.0,1.0,0.66
12,D7PM05_CLYGR_Somermeyer_2022,novelty,1,1,editguard_diffusion,50,0.68,0.7529953089944932,0.9713236793799714,1.0,1.0,0.68
12,D7PM05_CLYGR_Somermeyer_2022,novelty,1,2,editguard_diffusion,50,0.66,0.7774790944319803,0.9762594330002039,1.0,1.0,0.66
12,D7PM05_CLYGR_Somermeyer_2022,novelty,1,3,editguard_diffusion,50,0.78,0.8118090964715481,0.9874362635121354,1.0,1.0,0.78
12,D7PM05_CLYGR_Somermeyer_2022,novelty,1,4,editguard_diffusion,50,0.7,0.7879012849275954,0.9804201509280033,1.0,1.0,0.7
13,D7PM05_CLYGR_Somermeyer_2022,fragility_aware,1,0,editguard_diffusion,50,0.72,0.7919176014684888,0.9795227411788701,1.0,1.0,0.72
13,D7PM05_CLYGR_Somermeyer_2022,fragility_aware,1,1,editguard_diffusion,50,0.82,0.8486257393432591,0.984376912094636,1.0,1.0,0.82
13,D7PM05_CLYGR_Somermeyer_2022,fragility_aware,1,2,editguard_diffusion,50,0.78,0.8400668978176626,0.9890679176014685,1.0,1.0,0.78
13,D7PM05_CLYGR_Somermeyer_2022,fragility_aware,1,3,editguard_diffusion,50,0.74,0.805771160513971,0.983887415867836,1.0,1.0,0.74
13,D7PM05_CLYGR_Somermeyer_2022,fragility_aware,1,4,editguard_diffusion,50,0.74,0.8156124821537835,0.9871099326942688,1.0,1.0,0.74
14,D7PM05_CLYGR_Somermeyer_2022,motif_avoidance,1,0,editguard_diffusion,50,0.74,0.8175696512339384,0.9796451152355701,1.0,1.0,0.74
14,D7PM05_CLYGR_Somermeyer_2022,motif_avoidance,1,1,editguard_diffusion,50,0.76,0.8343365286559249,0.9810728125637365,1.0,1.0,0.76
14,D7PM05_CLYGR_Somermeyer_2022,motif_avoidance,1,2,editguard_diffusion,50,0.8,0.845685498674281,0.9979196410361003,1.0,1.0,0.8
14,D7PM05_CLYGR_Somermeyer_2022,motif_avoidance,1,3,editguard_diffusion,50,0.74,0.8003875178462166,0.9874362635121354,1.0,1.0,0.74
14,D7PM05_CLYGR_Somermeyer_2022,motif_avoidance,1,4,editguard_diffusion,50,0.56,0.7157063022639201,0.9884968386702019,1.0,1.0,0.56
15,D7PM05_CLYGR_Somermeyer_2022,novelty,2,0,editguard_diffusion,50,0.44,0.6526942688150111,0.9890271262492352,1.82,1.0,0.44
15,D7PM05_CLYGR_Somermeyer_2022,novelty,2,1,editguard_diffusion,50,0.52,0.7114264735875993,0.9952682031409341,1.9,1.0,0.52
15,D7PM05_CLYGR_Somermeyer_2022,novelty,2,2,editguard_diffusion,50,0.46,0.6668056292066082,0.991760146848868,1.82,1.0,0.46
15,D7PM05_CLYGR_Somermeyer_2022,novelty,2,3,editguard_diffusion,50,0.52,0.686057515806649,0.9851927391393025,1.86,1.0,0.52
15,D7PM05_CLYGR_Somermeyer_2022,novelty,2,4,editguard_diffusion,50,0.5,0.6398576381807057,0.9977564756271671,1.8,1.0,0.5
16,D7PM05_CLYGR_Somermeyer_2022,fragility_aware,2,0,editguard_diffusion,50,0.78,0.8231274729757291,0.9842545380379359,1.7,1.0,0.78
16,D7PM05_CLYGR_Somermeyer_2022,fragility_aware,2,1,editguard_diffusion,50,0.68,0.7721199265755659,0.9919233122578014,1.82,1.0,0.68
16,D7PM05_CLYGR_Somermeyer_2022,fragility_aware,2,2,editguard_diffusion,50,0.56,0.7678988374464614,0.9885784213746686,1.78,1.0,0.56
16,D7PM05_CLYGR_Somermeyer_2022,fragility_aware,2,3,editguard_diffusion,50,0.66,0.7687489292270038,0.9974709361615337,1.72,1.0,0.66
16,D7PM05_CLYGR_Somermeyer_2022,fragility_aware,2,4,editguard_diffusion,50,0.56,0.7457956353253111,0.9948602896186008,1.86,1.0,0.56
17,D7PM05_CLYGR_Somermeyer_2022,motif_avoidance,2,0,editguard_diffusion,50,0.44,0.6969439118906793,0.9923312257801347,1.72,1.0,0.44
17,D7PM05_CLYGR_Somermeyer_2022,motif_avoidance,2,1,editguard_diffusion,50,0.6,0.7428680399755252,0.9763002243524372,1.64,1.0,0.6
17,D7PM05_CLYGR_Somermeyer_2022,motif_avoidance,2,2,editguard_diffusion,50,0.48,0.6855941260452785,0.9906179889863349,1.76,1.0,0.48
17,D7PM05_CLYGR_Somermeyer_2022,motif_avoidance,2,3,editguard_diffusion,50,0.38,0.6648451968182745,0.9627167040587395,1.78,1.0,0.38
17,D7PM05_CLYGR_Somermeyer_2022,motif_avoidance,2,4,editguard_diffusion,50,0.52,0.691225372221089,0.977523964919437,1.7,1.0,0.52
